Simile,Tenor,Vehicle,Shared Property
"From the day you were born, you've been like Superman.",You,Superman,
"For centuries, the Tyrant has made life like a dreary prison.",Tyrant,prison,
You’ve discovered that your body is like bulletproof steel.,body,steel,
"A few weeks later, a letter arrives explaining that you are like a diamond in the rough.",you,diamond,
"After taking a pill, you suddenly realize that it all was like predestination.",pill,predestination,
"Unfortunately, their ideas about your past life are like unfounded teenage rumors.",ideas,rumors,
A rather mundane day changes when you unearth something like an enticing secret.,day,secret,
"But times are hard, and silver bullets are like priceless rubies.",bullets,rubies,
"Whenever the sun goes away, he stays up there keeping the magic burning like a hearth.",he,hearth,
The majority of law enforcement has become like old news.,enforcement,news,
Your guardian angel is just a little too much like a nerd at a comic convention.,angel,nerd,
"The sun is nowhere to be found, and the streets are like a ghost town.",streets,town,
After a few weeks he’s starting to feel like an outcast.,he,outcast,
You decline but the man is like a cocky salesman.,man,salesman,
Last night you learned from your wife that lucid dreams are like hen's teeth.,dreams,teeth,
"As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.",eyes,stars,
Milton scrunched his eyes and moodily turned back to his computer like a damsel in distress.,Milton,damsel,
The news hit me like a Mack truck.,news,truck,
It makes the Hunger Games look like mere child's play.,Games,play,
The bliss has reached fever pitch as it enulfs me like a steaming shower.,bliss,shower,
"Streaks of electricity cackled through the air, swirling around and around like Lovecraftian tentacles.",electricity,tentacles,
Off she went like a wreckingball.,she,wreckingball,
Clare felt each stirke like a branding iron.,Clare,iron,
"Having a thin figure, he looked like a couch without cushions.",he,couch,
The wind stampeded through me like a herd of wild horses.,wind,herd,
I start to prowl across the room like a nervous criminal.,I,criminal,
Pain shoots out like an electric guitar getting tuned.,Pain,guitar,
"At that point, it could spread like Herpes at band camp.","""it""","""Herpes""",
The words cut through the air like a Honeycrisp apple.,words  ,apple,
The library grew back like ivy on a castle.,library,ivy,
"The door seemed impenetrable, like a ring of assassins.",door,ring,
Adrenaline shot through him like a hypodermic injection.,Adrenaline,injection,
"Pale yet bright, its flesh glowed like a warm sunrise.",flesh,sunrise,
The old van in the field is like a stiff sweatshirt.,van  ,sweatshirt,
Hitler skittered off like a dog with its tail between its legs.,Hitler  ,dog,
Panic is sweeping through the streets like the virus itself.,Panic,Virus,
Keaton was lying face down on the ground like a maimed animal.,Keaton,animal,
The sound hit Frank like a discordant cacaphony.,Frank,cacophony,
Her neck was like a vampire's dream.,neck,dream,
They had shut him in a basement that looked like a freight elevator.,Basement,elevator,
The images flashed in the brilliance that covered him like the beating sun.,him,sun,
"It was red, like a blooming rose.",it,rose,
The sound of his own blood sounds like nails on a chalkboard.,sound,nails,
"Pink orange yellow green black white, I felt numb and slack-jawed, gaping like a boy in the girl's locker room.",I,boy,
"In the dead of summer, in Ohio, the clothes felt like wet wool.",clothes,wool,
"A character knows that their universe is fictional, but everyone thinks they are like a raving Cassandra.",character,Cassandra,
"They all agree the books are good reads, but they are like pseudo science fiction.",books,fiction,
But he's much stronger than you and his ideas are like a train on another track.,ideas,train,
You wake one morning to find your entire family lying like dummies.,family,dummies,
"In most horror settings, silence is like a central ingrediant.",Silence,ingredient,
We see billionaires with full meters and homeless people like morning after the funeral One day you decide to test it out and what you experience is like a fantastical dream.,"billionaires, homeless})();",funeral,
Friends' bars are almost full while strangers' are like a pessimist's glass: half-empty.,strangers,glass,
"To the superhero, they are keeping the people and the world like a precious treasure.",superhero,treasure,
"After finding a strange mask on the beach, you become suddenly more like the celebrities you envied.",you,celebrities,
"But this other world doesn't want to be known, it wants to remain like an underground cult.",world,cult,
You are a chef who prepares onions in a world where crying is like Anthrax exposure.,You,Chef,
You are the final boss of a videogame and are like a reining champion.,You,champion,
